Country,OCDI_tile,OCV_tile,OPC_tile,WCV_tile,SCV_tile,ACV_tile,,,,,,,,
Luxembourg,6,4,7,8,0,5,,,,,,,,
"Macao SAR, China",35,20,37,82,44,5,,,,,,,,
"Macedonia, FYR",21,31,20,45,0,28,,,,,,,,
Madagascar,85,89,90,96,84,87,,,,,,,,
Malawi,94,94,98,97,0,91,,,,,,,,
Malaysia,41,38,45,68,64,37,,,,,,,,
Maldives,69,68,69,60,91,61,,,,,,,,
Mali,90,89,91,74,0,89,,,,,,,,
Malta,4,5,4,18,35,13,,,,,,,,
Marshall Islands,53,71,54,81,97,74,,,,,,,,
Martinique,68,47,80,38,43,49,,,,,,,,
Mauritania,84,82,82,83,91,85,,,,,,,,
Mauritius,55,41,69,23,52,32,,,,,,,,
Mayotte,57,55,62,49,63,52,,,,,,,,
Mexico,47,39,55,81,37,44,,,,,,,,
"Micronesia, Fed. Sts.",71,80,72,85,59,78,,,,,,,,
Moldova,33,51,34,56,0,46,,,,,,,,
Monaco,44,14,44,0,46,3,,,,,,,,
Mongolia,24,44,22,66,0,43,,,,,,,,
Montserrat,67,60,84,43,53,65,,,,,,,,
Morocco,75,64,78,37,72,69,,,,,,,,
Mozambique,69,88,78,95,90,88,,,,,,,,
Myanmar,95,99,56,98,100,100,,,,,,,,
Namibia,96,70,95,77,51,67,,,,,,,,
Nauru,56,77,54,78,95,80,,,,,,,,
Nepal,66,85,73,91,0,81,,,,,,,,
Netherlands,12,8,16,2,38,10,,,,,,,,
Netherlands Antilles,25,31,31,40,60,52,,,,,,,,
New Caledonia,44,34,39,25,62,29,,,,,,,,
New Zealand,3,3,3,38,37,3,,,,,,,,
Nicaragua,57,65,62,90,55,66,,,,,,,,
Niger,94,95,96,89,0,93,,,,,,,,
Nigeria,48,72,52,55,83,75,,,,,,,,
Niue,51,54,48,38,79,53,,,,,,,,
Norfolk Island,53,47,44,31,77,41,,,,,,,,
Northern Mariana Islands,17,25,13,35,61,36,,,,,,,,
Norway,1,1,1,8,27,2,,,,,,,,
Oman,43,33,49,13,53,31,,,,,,,,
Pakistan,81,78,81,86,52,78,,,,,,,,
Palau,29,41,24,48,70,53,,,,,,,,
Panama,38,38,46,66,54,39,,,,,,,,
Papua New Guinea,83,81,81,83,66,76,,,,,,,,
Paraguay,75,68,70,72,0,75,,,,,,,,
Peru,46,45,56,78,31,53,,,,,,,,
Philippines,77,69,83,96,82,61,,,,,,,,
Pitcairn,60,50,51,21,83,41,,,,,,,,
Poland,12,19,15,25,21,16,,,,,,,,
Portugal,28,22,33,17,30,19,,,,,,,,
Puerto Rico,15,16,16,41,59,34,,,,,,,,
Qatar,18,9,14,2,41,22,,,,,,,,
Reunion,60,44,77,47,63,35,,,,,,,,
Romania,22,29,23,5,21,23,,,,,,,,
Russian Federation,13,28,10,47,27,27,,,,,,,,
Rwanda,97,95,99,71,0,94,,,,,,,,
Saint Barthelemy,69,46,75,30,58,47,,,,,,,,
Saint Martin,68,39,71,26,47,37,,,,,,,,
Samoa,72,75,75,69,88,69,,,,,,,,
San Marino,3,3,3,0,0,8,,,,,,,,
Sao Tome and Principe,61,76,61,47,76,84,,,,,,,,
Saudi Arabia,29,27,25,5,47,31,,,,,,,,
Senegal,96,88,96,66,85,90,,,,,,,,
Serbia and Montenegro,30,37,27,61,0,31,,,,,,,,
Seychelles,47,50,41,59,55,51,,,,,,,,
Sierra Leone,82,94,84,63,91,95,,,,,,,,
Singapore,4,3,4,5,31,19,,,,,,,,
Slovak Republic,15,18,18,22,0,14,,,,,,,,
Slovenia,31,24,32,15,0,17,,,,,,,,
Solomon Islands,74,87,58,64,92,83,,,,,,,,
Somalia,70,100,21,100,98,100,,,,,,,,
South Africa,61,45,71,58,32,47,,,,,,,,
Spain,13,13,17,19,28,16,,,,,,,,
Sri Lanka,82,69,80,91,79,58,,,,,,,,
St. Helena,38,43,65,45,67,48,,,,,,,,
St. Kitts and Nevis,91,66,95,58,66,62,,,,,,,,
St. Lucia,93,76,99,60,48,72,,,,,,,,
St. Pierre and Miquelon,39,35,63,48,82,15,,,,,,,,
St. Vincent and the Grenadines,84,72,92,68,78,75,,,,,,,,
Sudan,98,94,87,97,41,96,,,,,,,,
Suriname,50,53,42,53,88,56,,,,,,,,
Svalbard and Jan Mayen,44,22,52,8,47,18,,,,,,,,
Swaziland,94,74,88,59,0,70,,,,,,,,
Sweden,2,2,2,2,26,1,,,,,,,,
Switzerland,7,7,11,13,0,8,,,,,,,,
Syrian Arab Republic,58,69,43,39,0,74,,,,,,,,
Taiwan (China),27,18,27,41,48,14,,,,,,,,
Tajikistan,33,62,29,88,0,55,,,,,,,,
Tanzania,78,87,87,92,69,85,,,,,,,,
Thailand,81,56,85,86,63,48,,,,,,,,
Timor-Leste,65,83,50,75,68,82,,,,,,,,
Togo,78,93,76,71,96,94,,,,,,,,
Tokelau,54,77,64,62,94,81,,,,,,,,
Tonga,73,78,70,73,94,73,,,,,,,,
Trinidad and Tobago,97,53,98,28,56,40,,,,,,,,
Tunisia,59,52,65,16,68,57,,,,,,,,
Turkey,34,37,36,34,50,38,,,,,,,,
Turkmenistan,23,66,9,44,0,68,,,,,,,,
