Country,OverallCDI,OverallCV,OverallPC,OverallPop08,WeatherCDI,WeatherCV,WeatherPC,SeaCDI,SeaCV,SeaPC,SeaPop08,AgCDI,AgCV,AgPC,AgPop08,Income_per_cap,KKM_score,Area,Island,Sm_Island,Region,WBRegion,Subregion,ISO3,IncomeStatus,WBLendingClass
Bosnia and Herzegovina,7.321,0.273,6.786,4590.31,0.01660,0.00179,0.01581,0.00000,0.00000,0.00000,0.26,14.310,0.497,13.409,2412.67,6716,-0.19,51197,0,0,Europe,ECA,Eastern Europe,BIH,Upper Middle Income,Blend
Botswana,30.651,0.488,32.763,1952.05,0.01519,0.00070,0.01668,0.00000,0.00000,0.00000,,78.040,1.157,84.328,789.02,13293,0.52,581730,0,0,Africa,SSA,Southern Africa,BWA,Upper Middle Income,IBRD
Brazil,5.344,0.132,5.449,196342.59,0.82388,0.05865,0.86287,2.76000,0.21245,2.12007,1708.46,32.280,0.741,33.269,28312.60,9081,0.19,8514877,0,0,Latin America & Caribbean,LCR,Northern South America,BRA,Upper Middle Income,IBRD
British Virgin Islands,31.753,0.331,31.557,24.04,0.00817,0.00025,0.00835,48.46000,1.57911,36.34528,3.52,65.390,0.634,65.698,9.41,22216,0.58,151,1,1,Latin America & Caribbean,LCR,Caribbean Islands,VGB,High Income Non OECD,NC
Brunei Darussalam,10.370,0.048,9.474,381.37,0.01409,0.00019,0.01322,15.03000,0.21801,10.35967,21.80,38.940,0.168,35.959,96.03,55381,0.83,5765,0,0,Asia,EAP,Southeast Asia,BRN,High Income Non OECD,NC
Bulgaria,4.019,0.070,4.823,7262.67,0.00277,0.00014,0.00341,0.00000,0.00000,0.00000,54.23,14.310,0.231,17.360,2098.91,10612,0.75,110879,0,0,Europe,ECA,Eastern Europe,BGR,Upper Middle Income,IBRD
Burkina Faso,31.625,5.103,38.378,15264.74,0.03619,0.01687,0.04512,0.00000,0.00000,0.00000,,40.430,6.074,49.604,12278.95,1117,-0.32,274200,0,0,Africa,SSA,Sahelian Africa,BFA,Low Income,IDA
Burundi,58.446,41.247,57.736,9139.31,1.13771,2.31882,1.15458,0.00000,0.00000,0.00000,,65.890,43.286,65.803,8188.83,326,-1.18,27830,0,0,Africa,SSA,Central Africa,BDI,Low Income,IDA
Cambodia,35.349,4.718,37.691,13957.01,0.96872,0.37338,1.06109,3.85000,1.60861,3.10051,204.62,45.090,5.602,48.605,10947.88,1581,-0.47,181035,0,0,Asia,EAP,Southeast Asia,KHM,Low Income,IDA
Cameroon,14.098,1.642,13.020,18467.69,0.00372,0.00125,0.00353,4.26000,1.55189,2.96828,529.46,33.280,3.609,31.070,7985.43,2156,-0.66,475440,0,0,Africa,SSA,Central Africa,CMR,Lower Middle Income,IDA
Canada,1.140,0.005,1.424,33212.70,0.41237,0.00567,0.52910,4.47000,0.06655,4.21410,569.73,3.490,0.015,4.412,6509.69,36975,1.66,9984670,0,0,North America,NAM,North America,CAN,High Income OECD,NC
Cape Verde,21.838,1.523,25.560,493.62,0.01072,0.00216,0.01288,12.54000,2.73600,11.07843,19.78,54.410,3.532,64.382,199.32,2708,-0.02,4033,1,1,Africa,SSA,Atlantic Islands,CPV,Lower Middle Income,Blend
Cayman Islands,10.641,0.095,12.567,47.86,0.01010,0.00026,0.01225,60.28000,1.67621,53.71597,8.69,65.390,0.541,78.069,0.00,21138,1.1,264,1,1,Latin America & Caribbean,LCR,Caribbean Islands,CYM,High Income Non OECD,NC
Central African Republic,59.724,24.790,48.102,4641.32,0.07131,0.08549,0.05900,0.00000,0.00000,0.00000,,100.000,38.639,81.423,2850.70,711,-1.28,622984,0,0,Africa,SSA,Central Africa,CAF,Low Income,IDA
Chad,40.422,8.999,28.660,10111.34,0.01698,0.01091,0.01236,0.00000,0.00000,0.00000,,56.740,11.758,40.670,7413.63,1550,-1.26,1284000,0,0,Africa,SSA,Sahelian Africa,TCD,Low Income,IDA
Chile,4.746,0.051,6.961,16454.14,0.18074,0.00563,0.27232,1.26000,0.04237,1.39010,164.95,40.600,0.408,60.197,1902.10,13401,1.58,756102,0,0,Latin America & Caribbean,LCR,Southern South America,CHL,Upper Middle Income,IBRD
China,100.000,4.879,97.342,1317065.75,100.00000,14.09098,100.00000,6.56000,1.00101,4.81818,23733.21,4.990,0.227,4.912,749410.44,4842,-0.22,9596961,0,0,Asia,EAP,China,CHN,Lower Middle Income,IBRD
Colombia,13.443,0.427,14.886,43141.11,3.97477,0.36481,4.52155,2.85000,0.28367,2.38459,341.49,38.600,1.142,43.213,11000.98,6369,0.24,1138914,0,0,Latin America & Caribbean,LCR,Andean South America,COL,Upper Middle Income,IBRD
Comoros,23.711,8.904,15.522,731.78,0.03368,0.03653,0.02265,10.81000,12.69495,5.33898,26.12,33.360,11.662,22.078,526.29,1010,-1.51,2235,1,1,Oceania,SSA,Indian Ocean Islands,COM,Low Income,IDA
"Congo, Dem. Rep.",15.722,15.106,13.688,66514.51,0.03382,0.09386,0.03025,0.02000,0.06640,0.01452,3.30,24.460,21.877,21.529,43926.18,279,-1.43,2344858,0,0,Africa,SSA,Central Africa,ZAR,Low Income,IDA
"Congo, Rep.",37.730,4.228,24.102,3905.01,0.05558,0.01799,0.03648,8.77000,3.07230,4.22521,58.12,100.000,10.432,64.580,1509.68,3500,-1.19,342000,0,0,Africa,SSA,Central Africa,COG,Lower Middle Income,IDA
Cook Islands,25.815,0.736,25.886,12.27,0.01487,0.00122,0.01532,59.16000,5.27158,44.76168,2.19,33.360,0.885,33.819,5.88,8012,0.09,236,1,1,Oceania,EAP,Pacific Islands,COK,Upper Middle Income,NC
Costa Rica,15.551,0.331,17.413,4393.24,1.46852,0.09025,1.68924,3.82000,0.25429,3.22814,62.53,39.430,0.781,44.639,1614.08,9395,0.47,51100,0,0,Latin America & Caribbean,LCR,Central America,CRI,Upper Middle Income,IBRD
Cote d'Ivoire,12.726,2.052,10.645,20179.60,0.00190,0.00089,0.00163,29.39000,14.82037,18.55009,627.25,23.790,3.571,20.121,10335.99,1754,-0.93,322463,0,0,Africa,SSA,Coastal West Africa,CIV,Lower Middle Income,IDA
Croatia,5.955,0.088,6.205,4491.54,0.00300,0.00013,0.00322,1.77000,0.08141,1.38884,39.61,14.310,0.196,15.071,1918.79,14821,0.5,56594,0,0,Europe,ECA,Eastern Europe,HRV,High Income Non OECD,IBRD
