Country,OverallCDI,OverallCV,OverallPC,OverallPop08,WeatherCDI,WeatherCV,WeatherPC,SeaCDI,SeaCV,SeaPC,SeaPop08,AgCDI,AgCV,AgPC,AgPop08,Income_per_cap,KKM_score,Area,Island,Sm_Island,Region,WBRegion,Subregion,ISO3,IncomeStatus,WBLendingClass
Kenya,11.866,1.377,15.183,37953.84,5.16888,1.73222,6.79460,0.78000,0.28273,0.75218,166.02,8.990,0.971,11.623,29755.81,1459,-0.07,580367,0,0,Africa,SSA,East Africa,KEN,Low Income,IDA
Kiribati,21.949,10.050,19.003,96.86,0.19703,0.26054,0.17525,34.64000,49.60990,22.63220,10.25,33.360,14.219,29.200,54.40,591,-1.22,811,1,1,Oceania,EAP,Pacific Islands,KIR,Lower Middle Income,IDA
"Korea, Dem. Rep.",5.362,2.320,1.551,22565.35,0.34421,0.43011,0.10230,13.78000,18.64927,3.00849,1053.53,12.150,4.892,3.553,8421.39,2353,-2.28,120538,0,0,Asia,EAP,Northeast Asia,PRK,Low Income,NC
"Korea, Rep.",3.529,0.033,3.652,48379.39,0.24751,0.00675,0.26314,10.00000,0.29534,7.81079,2499.42,15.470,0.136,16.190,8969.54,23349,0.73,99720,0,0,Asia,EAP,Northeast Asia,KOR,High Income OECD,IBRD
Kuwait,2.869,0.022,2.076,2598.06,0.00155,0.00003,0.00115,11.04000,0.26693,6.02985,521.26,44.930,0.323,32.864,42.61,43995,0.04,17818,0,0,Asia,MNA,Middle East,KWT,High Income Non OECD,NC
Kyrgyz Republic,6.084,0.649,6.700,5356.87,0.00885,0.00272,0.01001,0.00000,0.00000,0.00000,,9.820,0.974,10.929,3413.40,1904,-0.32,199951,0,0,Asia,ECA,Western Asia,KGZ,Low Income,IDA
Lao PDR,26.332,4.759,18.031,6145.18,0.19942,0.10408,0.14028,0.00000,0.00000,0.00000,,38.940,6.550,26.953,4247.55,1993,-1.25,236800,0,0,Asia,EAP,Southeast Asia,LAO,Low Income,IDA
Latvia,8.550,0.101,10.655,2245.42,0.00155,0.00005,0.00198,35.37000,1.30056,33.26191,284.29,13.560,0.148,17.085,715.84,14966,1.07,64589,0,0,Europe,ECA,Eastern Europe,LVA,Upper Middle Income,NC
Lebanon,7.182,0.190,6.120,4038.02,0.00456,0.00035,0.00399,19.71000,1.62910,12.66930,313.98,44.930,1.105,38.697,526.56,10519,-0.2,10400,0,0,Asia,MNA,Middle East,LBN,Upper Middle Income,IBRD
Lesotho,45.738,7.024,45.898,1915.47,0.08534,0.03785,0.08798,0.00000,0.00000,0.00000,,63.060,9.015,63.975,1427.79,1478,-0.63,30355,0,0,Africa,SSA,Southern Africa,LSO,Lower Middle Income,IDA
Liberia,23.908,19.287,21.872,3440.37,0.02160,0.05033,0.02030,39.63000,100.00000,27.35991,252.29,54.410,40.858,50.320,1371.33,313,-1.32,111369,0,0,Africa,SSA,Coastal West Africa,LBR,Low Income,IDA
Libya,13.374,0.489,7.977,6187.04,0.00038,0.00004,0.00023,12.57000,1.43850,5.65935,155.10,59.900,2.040,36.122,1389.61,11687,-0.93,1759540,0,0,Africa,MNA,North Africa,LBY,Upper Middle Income,IBRD
Liechtenstein,6.923,0.018,6.717,34.51,0.00013,0.00000,0.00013,0.00000,0.00000,0.00000,,8.320,0.020,8.159,29.57,93552,1.35,160,0,0,Europe,ECA,Western Europe,LIE,High Income Non OECD,NC
Lithuania,4.371,0.048,5.499,3565.21,0.00110,0.00003,0.00142,1.76000,0.06018,1.67252,38.84,13.560,0.138,17.247,1177.94,15932,1.14,65300,0,0,Europe,ECA,Eastern Europe,LTU,Upper Middle Income,NC
Luxembourg,1.422,0.004,1.599,486.01,0.00344,0.00003,0.00398,0.00000,0.00000,0.00000,,8.320,0.022,9.457,85.34,71609,1.71,2586,0,0,Europe,ECA,Western Europe,LUX,High Income OECD,NC
"Macao SAR, China",9.032,0.047,9.101,545.67,8.02595,0.12145,8.30795,20.20000,0.33100,15.35721,34.39,4.990,0.024,5.085,0.00,43528,1,28,0,0,Asia,EAP,China,MAC,High Income Non OECD,NC
"Macedonia, FYR",4.642,0.121,4.837,2061.31,0.04283,0.00322,0.04585,0.00000,0.00000,0.00000,,14.310,0.347,15.075,682.30,8363,0.21,25713,0,0,Europe,ECA,Eastern Europe,MKD,Upper Middle Income,IBRD
Madagascar,34.699,6.763,43.702,20042.55,4.86079,2.73610,6.28920,5.79000,3.53049,5.50407,483.36,43.590,7.909,55.507,14125.99,884,-0.33,587041,1,0,Africa,SSA,East Africa,MDG,Low Income,IDA
Malawi,46.885,11.442,60.227,14623.68,5.98311,4.21677,7.89559,0.00000,0.00000,0.00000,,52.080,11.831,67.633,11874.43,689,-0.39,118484,0,0,Africa,SSA,East Africa,MWI,Low Income,IDA
Malaysia,12.996,0.238,12.819,27357.76,0.60935,0.03220,0.61744,19.20000,1.09877,14.29184,2386.12,37.440,0.638,37.331,8108.84,12745,0.27,329847,0,0,Asia,EAP,Southeast Asia,MYS,Upper Middle Income,IBRD
Maldives,25.382,1.829,24.172,385.92,0.06471,0.01347,0.06331,41.83000,9.42713,30.06189,49.25,33.360,2.238,32.119,239.81,3363,-0.42,298,1,1,Oceania,SAS,Indian Ocean Islands,MDV,Lower Middle Income,IDA
Mali,39.114,6.661,47.679,13100.81,0.09784,0.04811,0.12252,0.00000,0.00000,0.00000,,59.230,9.390,72.998,8884.97,1053,-0.33,1240192,0,0,Africa,SSA,Sahelian Africa,MLI,Low Income,IDA
Malta,0.710,0.006,0.846,403.53,0.00462,0.00011,0.00566,8.81000,0.22824,7.92394,11.38,8.320,0.064,10.027,23.16,22430,1.17,316,1,1,Europe,MNA,Western Europe,MLT,High Income Non OECD,NC
Marshall Islands,17.269,2.144,16.028,63.17,0.31402,0.11257,0.29941,50.89000,19.75818,35.64209,9.70,33.360,3.855,31.303,18.27,2010,-0.68,181,1,1,Oceania,EAP,Pacific Islands,MHL,Lower Middle Income,IBRD
Martinique,24.991,0.453,31.610,402.78,0.03066,0.00161,0.03984,5.69000,0.32266,5.42934,7.76,65.390,1.104,83.615,157.63,9518,0.85,1146,1,1,Latin America & Caribbean,LCR,Caribbean Islands,MTQ,Upper Middle Income,NC
Mauritania,33.806,4.372,33.339,3054.93,0.35561,0.13281,0.36027,23.28000,9.41466,17.32172,127.96,56.740,6.830,56.567,1802.41,1793,-0.59,1030700,0,0,Africa,SSA,Sahelian Africa,MRT,Low Income,IDA
Mauritius,18.953,0.293,24.046,1274.19,0.00533,0.00024,0.00695,9.75000,0.47177,9.33196,41.76,33.360,0.481,42.789,732.91,11119,0.95,2040,1,1,Oceania,SSA,Indian Ocean Islands,MUS,Upper Middle Income,IBRD
Mayotte,19.490,0.801,19.667,216.31,0.04399,0.00522,0.04561,7.97000,1.02494,6.07041,5.61,33.360,1.277,34.033,128.48,5505,-0.07,374,1,1,Oceania,SSA,Indian Ocean Islands,MYT,Upper Middle Income,NC
Mexico,15.253,0.271,16.207,109955.40,2.21873,0.11383,2.42186,4.63000,0.25747,3.71544,1331.45,58.900,0.974,63.271,25069.84,11997,0.45,1964375,0,0,Latin America & Caribbean,LCR,Central America,MEX,Upper Middle Income,IBRD
"Micronesia, Fed. Sts.",25.712,3.738,25.520,107.67,0.61404,0.25780,0.62611,1.66000,0.75581,1.24501,1.09,33.360,4.515,33.475,83.40,1582,-0.63,702,1,1,Oceania,EAP,Pacific Islands,FSM,Lower Middle Income,IBRD
Moldova,7.715,0.616,8.475,4324.45,0.04568,0.01053,0.05154,0.00000,0.00000,0.00000,,13.560,1.007,15.059,2518.56,2555,-0.2,33851,0,0,Europe,ECA,Eastern Europe,MDA,Lower Middle Income,IDA
Monaco,13.802,0.025,12.766,30.73,0.00010,0.00000,0.00010,68.60000,0.38830,47.87688,6.37,8.320,0.014,7.779,0.00,140215,1.44,2,0,0,Europe,ECA,Western Europe,MCO,High Income Non OECD,NC
Mongolia,5.188,0.392,5.360,2996.08,0.14053,0.03063,0.14916,0.00000,0.00000,0.00000,,12.150,0.853,12.687,1282.92,2909,-0.29,1564116,0,0,Asia,EAP,Northeast Asia,MNG,Lower Middle Income,IDA
Montserrat,24.918,1.110,34.630,5.08,0.01724,0.00222,0.02461,3.67000,0.51124,3.84756,0.07,65.390,2.712,91.875,1.99,3448,0.58,102,1,1,Latin America & Caribbean,LCR,Caribbean Islands,MSR,Lower Middle Income,NC
Morocco,28.085,1.487,30.597,31401.09,0.00860,0.00132,0.00963,9.70000,1.60691,7.97723,1190.18,64.890,3.198,71.470,13810.20,3893,-0.03,712550,0,0,Africa,MNA,North Africa,MAR,Lower Middle Income,IBRD
Mozambique,25.630,6.217,31.408,21284.70,3.04356,2.13221,3.83143,12.26000,9.30139,11.33612,938.07,36.110,8.153,44.729,13443.42,734,-0.47,799380,0,0,Africa,SSA,Southern Africa,MOZ,Low Income,IDA
Myanmar,47.307,39.911,16.725,52228.15,3.00771,7.32841,1.09241,20.80000,54.88491,5.54900,4047.39,65.390,51.355,23.372,35212.21,945,-2.24,676578,0,0,Asia,EAP,Southeast Asia,MMR,Low Income,IDA
Namibia,48.436,1.937,53.613,2088.67,0.52964,0.06118,0.60225,3.73000,0.46710,3.11880,28.64,78.040,2.905,87.323,1319.20,5059,0.13,824292,0,0,Africa,SSA,Southern Africa,NAM,Upper Middle Income,IBRD
Nauru,19.127,3.026,16.204,9.16,0.15221,0.06954,0.13247,33.90000,16.77419,21.67173,0.96,33.360,4.913,28.573,4.39,1760,-0.91,21,1,1,Oceania,EAP,Pacific Islands,NRU,Low Income,NC
Nepal,24.422,4.988,25.777,28196.96,1.32175,0.77959,1.43318,0.00000,0.00000,0.00000,,28.790,5.472,30.715,23335.80,1044,-0.66,147181,0,0,Asia,SAS,Southern Asia,NPL,Low Income,IDA
Netherlands,3.028,0.014,3.883,16645.31,0.00103,0.00001,0.00136,17.92000,0.26266,17.33608,928.29,11.650,0.051,15.098,3026.12,36370,1.75,41543,0,0,Europe,ECA,Western Europe,NLD,High Income OECD,NC
Netherlands Antilles,5.296,0.109,6.891,225.37,0.03231,0.00191,0.04319,14.36000,0.92087,14.09968,9.95,65.390,1.248,86.016,16.50,8132,0.85,800,1,1,Latin America & Caribbean,LCR,Caribbean Islands,ANT,High Income Non OECD,NC
New Caledonia,13.911,0.161,10.546,244.45,0.00803,0.00027,0.00625,28.13000,1.02048,16.09291,22.29,33.360,0.360,25.568,86.09,27678,-0.06,18575,1,1,Oceania,EAP,Pacific Islands,NCL,High Income Non OECD,NC
New Zealand,0.259,0.002,0.351,4173.46,0.08946,0.00159,0.12425,13.25000,0.25507,13.51925,210.90,-3.660,-0.021,-5.003,560.91,25958,1.72,267710,1,0,Oceania,EAP,AustraliaNZ,NZL,High Income OECD,NC
Nicaragua,19.761,1.562,19.843,5785.85,3.27395,0.74744,3.37735,2.42000,0.59949,1.83727,28.78,39.430,2.902,40.032,2502.96,2874,-0.36,130370,0,0,Latin America & Caribbean,LCR,Central America,NIC,Lower Middle Income,IDA
Niger,46.628,13.187,57.603,14752.08,0.65374,0.53396,0.82965,0.00000,0.00000,0.00000,,56.740,14.937,70.860,12312.09,623,-0.52,1267000,0,0,Africa,SSA,Sahelian Africa,NER,Low Income,IDA
Nigeria,15.636,2.212,15.484,146255.31,0.02169,0.00886,0.02207,7.65000,3.38216,5.71292,3470.25,30.780,4.053,30.817,75526.24,1631,-0.62,923768,0,0,Africa,SSA,Coastal West Africa,NGA,Lower Middle Income,IDA
Niue,16.724,0.711,13.767,1.32,0.01126,0.00138,0.00953,18.95000,2.52179,11.77293,0.08,33.360,1.321,27.762,0.63,6804,-0.46,260,1,1,Oceania,EAP,Pacific Islands,NIU,Upper Middle Income,NC
Norfolk Island,17.414,0.445,12.747,2.13,0.00847,0.00063,0.00637,24.92000,1.99374,13.76488,0.16,33.360,0.794,24.688,1.02,13062,-0.46,36,1,1,Oceania,EAP,Pacific Islands,NFK,High Income Non OECD,NC
Northern Mariana Islands,3.755,0.074,3.233,55.24,0.01849,0.00105,0.01636,16.00000,0.98500,10.39592,3.03,33.360,0.611,29.042,4.92,13957,-0.05,464,1,1,Oceania,EAP,Pacific Islands,MNP,High Income Non OECD,NC
Norway,-3.715,-0.016,-4.035,4644.46,0.00220,0.00003,0.00245,8.48000,0.11176,6.94748,141.06,-18.140,-0.071,-19.917,1045.93,49429,1.34,323802,0,0,Europe,ECA,Western Europe,NOR,High Income OECD,NC
Oman,13.669,0.141,13.987,2853.88,0.00174,0.00005,0.00183,14.94000,0.48207,11.53299,252.51,44.930,0.432,46.474,809.93,21650,0.65,309500,0,0,Asia,MNA,Middle East,OMN,High Income Non OECD,NC
Pakistan,32.396,3.157,32.149,178479.39,1.05229,0.29614,1.07280,1.55000,0.47203,1.15978,1191.66,50.580,4.588,50.747,113941.24,2364,-0.47,796095,0,0,Asia,SAS,Western Asia,PAK,Lower Middle Income,Blend
Palau,6.761,0.299,5.616,20.70,0.03730,0.00476,0.03183,10.65000,1.47324,6.67510,0.79,33.360,1.373,28.013,4.04,6473,-0.46,459,1,1,Oceania,EAP,Pacific Islands,PLW,Upper Middle Income,IBRD
Panama,11.126,0.229,13.213,3309.68,0.47892,0.02842,0.58428,8.79000,0.56520,7.88087,153.44,39.430,0.754,47.344,886.99,9062,0.63,75420,0,0,Latin America & Caribbean,LCR,Central America,PAN,Upper Middle Income,IBRD
Papua New Guinea,33.531,4.122,32.827,5816.23,0.42585,0.15119,0.42829,3.38000,1.30035,2.49841,77.44,38.940,4.456,38.535,5086.88,1903,-0.59,462840,1,0,Asia,EAP,Southeast Asia,PNG,Lower Middle Income,Blend
Paraguay,27.820,1.786,24.830,6203.20,0.23843,0.04421,0.21862,0.00000,0.00000,0.00000,,71.550,4.276,64.557,2462.67,4083,-0.49,406752,0,0,Latin America & Caribbean,LCR,Southern South America,PRY,Lower Middle Income,IBRD
Peru,14.987,0.424,16.849,29180.90,0.85881,0.07015,0.99186,1.77000,0.15695,1.50504,162.34,50.920,1.341,57.867,8345.74,7028,0.33,1285216,0,0,Latin America & Caribbean,LCR,Andean South America,PER,Upper Middle Income,IBRD
Philippines,30.355,1.876,33.950,96061.68,16.54326,2.95278,19.00803,16.47000,3.18406,13.90183,6131.23,38.940,2.240,44.024,33698.44,3229,-0.05,300000,1,0,Asia,EAP,Southeast Asia,PHL,Lower Middle Income,IBRD
Pitcairn,20.758,0.531,15.195,0.05,0.00216,0.00016,0.00162,41.50000,3.32003,22.92169,0.01,33.360,0.794,24.688,0.02,13062,-0.46,47,1,1,Oceania,EAP,Pacific Islands,PCN,High Income Non OECD,NC
Poland,2.950,0.039,3.366,38500.70,0.00677,0.00026,0.00794,0.87000,0.03632,0.74714,227.44,7.820,0.097,9.022,14892.07,14618,0.77,312685,0,0,Europe,ECA,Eastern Europe,POL,Upper Middle Income,IBRD
Portugal,6.417,0.057,7.640,10676.91,0.00410,0.00010,0.00501,5.65000,0.15673,5.07525,239.64,15.970,0.132,19.228,4328.42,20975,1.12,92090,0,0,Europe,ECA,Western Europe,PRT,High Income OECD,NC
Puerto Rico,3.500,0.029,3.933,3954.55,0.08511,0.00201,0.09824,29.86000,0.76554,25.31623,320.49,65.390,0.499,74.282,66.44,24353,1.02,13790,1,1,Latin America & Caribbean,LCR,Caribbean Islands,PRI,High Income Non OECD,NC
Qatar,3.989,0.016,3.274,824.79,0.00085,0.00001,0.00071,24.44000,0.29843,15.13693,72.48,44.930,0.163,37.275,35.96,74939,0.66,11586,0,0,Asia,MNA,Middle East,QAT,High Income Non OECD,NC
Reunion,20.272,0.395,28.690,815.38,0.06641,0.00374,0.09655,17.46000,1.06363,18.64688,46.24,33.360,0.605,47.730,484.32,7735,1.1,2548,1,1,Oceania,SSA,Indian Ocean Islands,REU,Upper Middle Income,NC
Romania,4.884,0.092,5.466,22060.81,0.00045,0.00002,0.00052,0.60000,0.03539,0.50507,93.26,10.980,0.193,12.425,10095.03,10576,0.53,238391,0,0,Europe,ECA,Eastern Europe,ROM,Upper Middle Income,IBRD
Russian Federation,3.440,0.090,2.399,140702.09,0.05105,0.00386,0.03659,1.33000,0.10888,0.69987,1120.10,12.810,0.312,9.036,38214.69,13524,-0.56,17100000,0,0,Europe,ECA,Eastern Europe,RUS,Upper Middle Income,IBRD
Rwanda,52.319,12.819,63.402,10440.77,0.06042,0.04276,0.07522,0.00000,0.00000,0.00000,,65.890,15.029,80.723,8525.93,736,-0.49,26338,0,0,Africa,SSA,Central Africa,RWA,Low Income,IDA
Saint Barthelemy,25.391,0.428,28.198,7.49,0.00826,0.00040,0.00942,13.17000,0.69430,11.03490,0.31,65.390,1.026,73.418,2.93,11985,0.58,21,1,1,Latin America & Caribbean,LCR,Caribbean Islands,BLM,High Income Non OECD,NC
Saint Martin,25.288,0.271,25.298,29.38,0.00902,0.00028,0.00927,11.79000,0.39516,8.89776,1.09,65.390,0.652,66.132,11.50,21419,0.58,54,1,1,Latin America & Caribbean,LCR,Caribbean Islands,MAF,High Income Non OECD,NC
Samoa,26.445,2.719,26.686,189.50,0.11346,0.03369,0.11761,20.89000,6.71936,15.91017,12.94,33.360,3.193,34.034,145.92,2195,-0.46,2831,1,1,Oceania,EAP,Pacific Islands,WSM,Lower Middle Income,IDA
San Marino,0.467,0.002,0.541,30.75,0.00033,0.00000,0.00039,0.00000,0.00000,0.00000,,8.320,0.037,9.732,1.78,40390,1.44,61,0,0,Europe,ECA,Western Europe,SMR,High Income Non OECD,NC
Sao Tome and Principe,21.062,2.823,19.355,168.41,0.01116,0.00432,0.01053,4.70000,1.96863,3.25670,7.70,54.410,6.788,50.549,66.42,1884,-0.72,964,1,1,Africa,SSA,Atlantic Islands,STP,Lower Middle Income,IDA
Saudi Arabia,6.748,0.084,5.811,24917.41,0.00063,0.00002,0.00056,10.16000,0.39535,6.60290,1327.26,36.440,0.422,31.724,4380.48,22112,0.17,2149690,0,0,Asia,MNA,Middle East,SAU,High Income Non OECD,NC
Senegal,48.894,5.757,56.005,11698.34,0.08211,0.02792,0.09662,11.89000,4.37921,10.27740,491.52,86.360,9.466,100.000,6740.59,1643,-0.29,196722,0,0,Africa,SSA,Coastal West Africa,SEN,Low Income,IDA
Serbia and Montenegro,6.815,0.219,6.050,9887.04,0.15363,0.01423,0.14012,0.00000,0.00000,0.00000,7.32,14.310,0.427,12.843,4741.83,8243,-0.21,91286,0,0,Europe,ECA,Eastern Europe,SCG,Upper Middle Income,IBRD
Seychelles,14.992,0.569,10.770,86.60,0.11039,0.01211,0.08146,4.86000,0.57752,2.63548,1.66,33.360,1.179,24.227,39.54,8990,-0.65,455,1,1,Oceania,SSA,Indian Ocean Islands,SYC,Upper Middle Income,IBRD
Sierra Leone,33.156,11.310,34.688,5023.00,0.01884,0.01856,0.02025,9.48000,10.11257,7.48286,134.65,54.410,17.277,57.546,3126.31,631,-0.86,71740,0,0,Africa,SSA,Coastal West Africa,SLE,Low Income,IDA
Singapore,0.568,0.002,0.729,4608.17,0.00204,0.00002,0.00270,13.62000,0.15895,13.20585,196.98,38.940,0.135,50.562,0.00,45626,1.92,697,1,1,Asia,EAP,Southeast Asia,SGP,High Income Non OECD,NC
Slovak Republic,3.517,0.036,4.368,5455.41,0.00698,0.00021,0.00890,0.00000,0.00000,0.00000,,8.320,0.080,10.446,2369.83,17064,1.14,49035,0,0,Europe,ECA,Eastern Europe,SVK,High Income OECD,NC
Slovenia,7.146,0.062,7.505,2007.71,0.00264,0.00007,0.00285,0.00000,0.00000,0.00000,12.68,14.310,0.115,15.193,1031.96,24984,0.81,20273,0,0,Europe,ECA,Eastern Europe,SVN,High Income Non OECD,NC
Solomon Islands,27.493,5.549,18.360,533.78,0.04134,0.02409,0.02836,16.67000,10.52521,8.40253,28.67,33.360,6.268,22.523,437.91,1839,-1.31,28896,1,0,Oceania,EAP,Pacific Islands,SLB,Lower Middle Income,IDA
Somalia,25.711,100.000,5.043,9558.67,8.90283,100.00000,1.79397,2.94000,35.82529,0.43590,115.85,27.620,100.000,5.477,6067.84,416,-2.77,637657,0,0,Africa,SSA,East Africa,SOM,Low Income,IDA
South Africa,21.416,0.426,25.306,48782.76,0.20592,0.01183,0.24996,3.20000,0.19887,2.84919,393.47,55.570,1.029,66.385,19152.11,9416,0.63,1219090,0,0,Africa,SSA,Southern Africa,ZAF,Upper Middle Income,IBRD
Spain,3.464,0.023,4.085,45910.36,0.00730,0.00014,0.00885,5.68000,0.11870,5.05230,1381.17,14.810,0.092,17.654,10504.29,28191,1.27,505370,0,0,Europe,ECA,Western Europe,ESP,High Income OECD,NC
Sri Lanka,32.655,1.927,32.082,21128.77,4.61972,0.78733,4.66259,13.46000,2.48523,9.98212,953.02,33.440,1.837,33.217,17938.33,3956,-0.28,65610,1,0,Asia,SAS,Southern Asia,LKA,Lower Middle Income,IDA
St. Helena,11.179,0.386,20.442,7.60,0.02852,0.00284,0.05357,12.28000,1.32500,16.94033,0.30,33.360,1.072,61.674,2.51,3197,1.44,308,1,1,Oceania,ECA,Atlantic Islands,SHN,Lower Middle Income,NC
St. Kitts and Nevis,43.446,1.614,55.992,49.06,0.10761,0.01155,0.14247,10.77000,1.25198,10.47757,1.67,65.390,2.262,85.197,33.21,4532,0.5,261,1,1,Latin America & Caribbean,LCR,Caribbean Islands,KNA,Upper Middle Income,IBRD
St. Lucia,45.923,2.828,63.500,159.59,0.07670,0.01364,0.10896,2.10000,0.40373,2.18738,1.40,65.390,3.748,91.411,115.16,2508,0.4,616,1,1,Latin America & Caribbean,LCR,Caribbean Islands,LCA,Upper Middle Income,Blend
St. Pierre and Miquelon,12.307,0.205,19.919,6.05,0.09913,0.00476,0.16482,61.46000,3.19821,75.06061,1.14,5.490,0.085,8.984,1.14,7701,1.57,242,1,1,North America,NAM,North America,SPM,Upper Middle Income,NC
St. Vincent and the Grenadines,34.114,2.248,47.917,104.94,0.16770,0.03192,0.24199,10.06000,2.07408,10.66505,3.39,65.390,4.012,92.855,55.58,2298,0.4,389,1,1,Latin America & Caribbean,LCR,Caribbean Islands,VCT,Upper Middle Income,Blend
Sudan,57.531,12.058,37.238,41680.79,6.43651,3.89615,4.27990,0.46000,0.29866,0.22252,88.63,93.340,18.212,61.080,23574.65,1838,-1.36,2505813,0,0,Africa,SSA,East Africa,SDN,Lower Middle Income,IDA
Suriname,16.460,0.689,11.962,476.00,0.06076,0.00734,0.04536,52.45000,6.86695,28.76317,56.11,42.680,1.663,31.355,119.38,8041,-0.67,163820,0,0,Latin America & Caribbean,LCR,Northern South America,SUR,Upper Middle Income,IBRD
Svalbard and Jan Mayen,13.865,0.057,15.488,2.16,0.00262,0.00003,0.00301,31.64000,0.40346,26.66919,0.22,33.360,0.127,37.675,0.71,49416,1.44,62422,1,0,Oceania,ECA,Atlantic Islands,SJM,High Income Non OECD,NC
Swaziland,46.052,2.622,38.115,1319.10,0.08083,0.01329,0.06873,0.00000,0.00000,0.00000,,63.060,3.343,52.764,990.12,5045,-0.57,17364,0,0,Africa,SSA,Southern Africa,SWZ,Lower Middle Income,IBRD
Sweden,-2.530,-0.013,-3.237,9045.39,0.00068,0.00001,0.00090,6.66000,0.10618,6.42449,269.38,-18.140,-0.086,-23.455,1398.42,33504,1.68,450295,0,0,Europe,ECA,Western Europe,SWE,High Income OECD,NC
Switzerland,2.146,0.010,2.678,7581.52,0.00331,0.00005,0.00424,0.00000,0.00000,0.00000,,8.320,0.037,10.496,2010.62,36961,1.66,41277,0,0,Europe,ECA,Western Europe,CHE,High Income OECD,NC
Syrian Arab Republic,19.982,1.914,12.494,21324.86,0.00651,0.00180,0.00418,0.00000,0.00000,0.00000,60.75,44.930,4.005,28.398,9762.52,4204,-1.17,185180,0,0,Asia,MNA,Middle East,SYR,Lower Middle Income,IBRD
Taiwan (China),5.566,0.036,6.047,22920.95,0.10499,0.00197,0.11717,20.09000,0.40733,16.46850,1833.13,12.150,0.073,13.340,7584.92,32100,1.07,35980,1,0,Asia,EAP,Northeast Asia,TWN,High Income Non OECD,NC
Tajikistan,7.777,1.370,6.455,7211.88,0.78748,0.40057,0.67143,0.00000,0.00000,0.00000,,9.820,1.610,8.237,5303.62,1620,-0.97,143100,0,0,Asia,ECA,Western Asia,TJK,Low Income,IDA
Tanzania,30.918,5.674,37.109,40213.16,1.80821,0.95826,2.22951,2.52000,1.44479,2.27990,553.82,40.270,6.878,48.858,29950.76,995,-0.39,947300,0,0,Africa,SSA,East Africa,TZA,Low Income,IDA
Thailand,32.589,0.862,34.876,66187.27,3.96066,0.30261,4.35430,12.58000,1.04098,10.15911,2758.54,43.590,1.074,47.164,44133.67,7977,0.26,513120,0,0,Asia,EAP,Southeast Asia,THA,Lower Middle Income,IBRD
Timor-Leste,23.668,4.450,14.479,1108.78,0.09389,0.05098,0.05900,2.29000,1.34463,1.05552,10.01,33.360,5.839,20.632,806.08,2195,-1.4,14874,1,0,Oceania,EAP,Pacific Islands,TMP,Lower Middle Income,IDA
Togo,31.302,10.207,28.325,6220.35,0.04246,0.03998,0.03947,17.17000,17.51575,11.72730,227.54,54.410,16.515,49.773,3607.80,787,-1.05,56785,0,0,Africa,SSA,Coastal West Africa,TGO,Low Income,IDA
Tokelau,18.076,2.933,20.265,1.47,0.03923,0.01838,0.04518,28.96000,14.69553,24.50043,0.13,33.360,5.038,37.811,0.70,1223,-0.46,12,1,1,Oceania,EAP,Pacific Islands,TKL,Low Income,NC
Tonga,27.366,3.388,24.328,119.01,0.13249,0.04737,0.12099,31.04000,12.02115,20.82573,11.31,33.360,3.845,29.982,89.52,2124,-0.75,747,1,1,Oceania,EAP,Pacific Islands,TON,Lower Middle Income,IDA
Trinidad and Tobago,55.920,0.702,59.065,1231.32,0.00915,0.00033,0.00993,15.98000,0.62710,12.73729,63.08,65.390,0.764,69.825,1068.54,17127,0.62,5128,1,1,Latin America & Caribbean,LCR,Caribbean Islands,TTO,High Income Non OECD,IBRD
Tunisia,20.181,0.631,20.863,10383.58,0.00089,0.00008,0.00095,13.77000,1.34669,10.73938,536.07,59.900,1.744,62.603,3478.50,7032,0.11,163610,0,0,Africa,MNA,North Africa,TUN,Lower Middle Income,IBRD
Turkey,8.322,0.220,8.724,75793.84,0.01249,0.00095,0.01345,5.08000,0.42003,4.01576,1691.31,26.960,0.664,28.566,23738.63,8179,0.22,783562,0,0,Asia,ECA,Middle East,TUR,Upper Middle Income,IBRD
Turkmenistan,4.901,1.608,1.841,4829.33,0.00253,0.00240,0.00098,0.00000,0.00000,0.00000,,9.820,2.999,3.727,2481.31,2265,-2.03,488100,0,0,Asia,ECA,Western Asia,TKM,Lower Middle Income,IBRD
Turks and Caicos Islands,36.051,0.590,39.762,22.35,0.01197,0.00057,0.01356,61.60000,3.15246,51.26999,4.18,65.390,0.996,72.912,8.75,12454,0.58,948,1,1,Latin America & Caribbean,LCR,Caribbean Islands,TCA,High Income Non OECD,NC
Tuvalu,31.636,4.708,22.121,10.34,0.12035,0.05173,0.08645,73.92000,34.40878,39.00247,2.30,33.360,4.622,23.583,4.96,2360,-1.16,26,1,1,Oceania,EAP,Pacific Islands,TUV,Lower Middle Income,NC
Uganda,27.688,4.754,38.768,31367.97,4.18259,2.07392,6.01612,0.00000,0.00000,0.00000,,27.950,4.468,39.567,27296.41,883,-0.08,241038,0,0,Africa,SSA,East Africa,UGA,Low Income,IDA
Ukraine,2.734,0.116,2.345,45994.29,0.01832,0.00224,0.01614,2.41000,0.31982,1.56253,498.36,8.650,0.341,7.503,14727.37,6501,-0.39,603550,0,0,Europe,ECA,Eastern Europe,UKR,Lower Middle Income,IBRD
United Arab Emirates,10.596,0.078,9.733,4621.40,0.00106,0.00002,0.00100,13.26000,0.30459,9.19295,338.20,44.930,0.307,41.718,1022.25,34704,0.58,83600,0,0,Asia,MNA,Middle East,ARE,High Income Non OECD,NC
